BZ2:1
C1:1
C10:1
C2:1
C29:1
C32:1
C33:1
C34:1
C35:1
C36:1
C37:1
C38:1
C39:1
C40:1
C41:1
C42:1
C43:1
C44:1
C45:1
C46:1
C47:1
C48:1
C49:1
C50:1
C62:1
C63:1
C64:1
C65:1
C66:1
C67:1
C68:1
C69:1
C70:1
C72:1
C73:1
C74:1
C75:1
C77:1
C78:1
C79:1
C85:1
C86:1
C87:1
C88:1
C89:1
C9:1
C90:1
C91:1
C92:1
C93:1
C94:1
C95:1
C96:1
D12:1
D13:1
D14:1
D15:1
D18:1
D19:1
D20:1
D21:1
D22:1
D23:1
D24:1
D25:1
D26:1
D27:1
D7:1
D8:1
F4:1
F5:1
F6:1
G***:2
J1:1
J10:1
J11:1
J17:1
J18:1
J19:1
J20:1
J21:1
J22:1
J8:1
J9:1
L1:1
L4:1
Q11:1
R1:1
R15:1
R16:1
R17:1
R18:1
R19:1
R20:1
R21:1
R22:1
R23:1
R24:1
R25:1
R26:1
R27:1
R28:1
R29:1
R30:1
R31:1
R32:1
R33:1
R36:1
R39:1
R40:1
R41:1
R42:1
R43:1
R44:1
R45:1
R46:1
R47:1
R48:1
R49:1
R50:1
R51:1
R52:1
R53:1
R54:1
R55:1
R56:1
R57:1
R58:1
R59:1
R60:1
R61:1
R62:1
R63:1
R64:1
SW3:1
TH1:1
TP1:1
TP2:1
TP3:1
TP4:1
TP5:1
TP6:1
TP7:1
TP8:1
TP9:1
U12:1
U13:1
U14:1
U16:1
U17:1
U4:1
U5:1
U6:1
U7:1
U8:1
Y1:1
