Designator,Mid X,Mid Y,Rotation,Layer
R8,101.75,-81.25,0.0,top
R9,101.75,-79.75,0.0,top
SW1,114.75,-110.75,180.0,bottom
SW2,114.75,-106.0,180.0,bottom
SW3,114.75,-115.5,0.0,bottom
U1,96.25,-98.75,180.0,top
U10,105.0,-113.8225,180.0,top
U11,105.0,-108.25,180.0,top
U12,94.5,-106.75,270.0,top
U13,94.5,-115.75,270.0,top
U2,90.75,-98.75,180.0,top
U3,104.25,-73.0,270.0,top
U5,113.0,-112.5,270.0,top
U9,108.25,-92.25,135.0,top
Y1,116.75,-85.25,180.0,top
